name,address,phone,Latitude,Longitude,Accuracy Score
Waldoboro Food Pantry,"93 Friendship Rd. Waldoboro, ME 04572",207-832-4743,44.09301497,-69.37414104,1
Wales Presbyterian Church Food Pantry,"688 Pond Road (Route 132) Wales, ME 04280",207-375-6618,44.1198,-70.10755,0.22
Bread For the Journey,"166 Main St. ( at the Baptist Church) Warren, ME 04864",207-273-4400,44.11938804,-69.24852485,1
Washburn Food Pantry,"18 Trafton St. Washburn, ME - 04786",(207) 498-2575,46.794911,-68.156116,1
Washington Food Pantry,"524 Waldoboro Road Washington, ME - 04574",207-845-2702,44.24002511,-69.381662,1
Food for Life / St. Stephen's Episcopal Church ,"424 Sokokis Trail (Rt. 5) Waterboro Center, ME - 04030",207-625-8460,43.596921,-70.689681,0.22
St. John's Food Pantry - Corpus Christie Parish,"70 Pleasant Street Waterville, ME 04901",207-680-6422,44.5536095,-69.6340895,1
Greater Waterville Area Food Pantry,"61 Pleasant Street Waterville, ME 04901",207-314-4153,44.552409,-69.634802,1
Wells Pentecostal Church Food Pantry,"131 Crediford Road Wells, ME 04090",207-646-2859,43.32203,-70.58089,0.22
St. Mary's Ecumenical Food Pantry - Wells,"236 Eldridge Rd Wells, ME 04090",207-646-5605,43.32203,-70.58089,0.22
Soup's On ,"US Route 1 Wells, ME 04090",207-646-4309,43.32203,-70.58089,0.22
Westbrook Food Pantry,"426 Bridge Street (Westbrook Community Center) Westbrook, ME - 04092",207-854-9105,43.707947,-70.352614,0.33
Salvation Army - Westbrook Food Pantry,"11 Bridge St. Westbrook, ME 04902",207-856-7729,,,0
Vineyard Food Pantry,"715 Bridgton Rd. Westbrook, ME - 04092",207-854-8339,43.432895,-70.051455,1
Westport Island Human resource Committee,"13 Weatherstone Drive Westport Island, ME - 04578",207-882-5464,44.01151,-69.67336,0.22
St. Denis and Full Gospel Food Pantry,"537 E River Rd Whitefield, ME - 04353",207-582-2684,44.188406,-69.575119,0.22
Whiting Community Food Pantry,"340 US Route 1 Whiting, ME - 04628",207-726-4722,44.90369,-67.2286,0.22
UMC Wilton Area Food Pantry,"600 Main Street Wilton, ME  04294",207-645-4885,44.59189137,-70.22887103,1
Windham Food Pantry,"377 Gray Rd. Windham, ME 04062",207-645-4885,43.77611197,-70.41747171,1
Northeast Dreamcenter,"18 Lithgow Street Winslow, ME -04901",207-692-2128,44.53753217,-69.6305275,1
Seven Oaks Training Center,"1221 North Main St. Winterport, ME - 04496",207-951-3481,44.66850078,-68.83343386,1
Neighbor's Cupboard Inc. ,"40 Park Drive Winterport, ME 04496",207-525-3208,44.63614684,-68.8525387,1
Winthrop Food Pantry,"25 A high St. Winthrop, ME 04364",207-377-3332,44.322865,-69.957627,0.33
Wiscasset Food Pantry,"255 Gardiner Road Wiscasset, ME - 04578",207-882-9088,44.0239022,-69.6700558,1
St. Philips Church Food Pantry,"12 Hodge St. Wiscasset, ME 04578",207-882-7184,44.004581,-69.667427,1
Wytopitlock Food Pantry,"8 Springer Road Wytopitlock, ME - 04497",207-456-7546,45.641135,-68.07846157,0.8
Yarmouth Community Food Pantry,"116 Main Street -First Parish Church Yarmouth, ME 04096",207-846-3773,43.79921313,-70.18327063,1
York Community Food Pantry,"38 Woodbridge Rd York, ME - 03909",207-351-1928,43.14349314,-70.64580724,1
Table of Plenty Community Kitchen - York,"Rt. 1A, First Parish Church York, ME - 03909",(603) 767-2319,43.166461,-70.679004,0.22
